date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,0.0,0.0,14.22,4.0,41.36,11.0,0.0,0.0,0.0,0.0
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,4.32,1.0,13.08,4.0,0.0,0.0,0.0,0.0
2015-01-05,5.28,2.0,55.32,19.0,98.4,33.0,0.0,0.0,0.0,0.0
2015-01-06,7.64,3.0,59.79,21.0,74.49,27.0,0.0,0.0,0.0,0.0
2015-01-07,0.0,0.0,0.0,0.0,11.08,4.0,0.0,0.0,0.0,0.0
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,13.19,3.0,0.0,0.0,0.0,0.0
2015-01-10,56.24,17.0,336.17,100.0,391.74,117.0,0.0,0.0,0.0,0.0
2015-01-11,9.53,3.0,14.69,5.0,32.75,9.0,0.0,0.0,0.0,0.0
2015-01-12,0.62,1.0,77.48,28.0,189.64,57.0,0.0,0.0,0.0,0.0
2015-01-13,2.43,1.0,40.05,13.0,74.44,27.0,0.0,0.0,0.0,0.0
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,10.95,5.0,41.25,15.0,0.0,0.0,0.0,0.0
2015-01-16,24.02,9.0,92.05,32.0,154.44,57.0,0.0,0.0,0.0,0.0
2015-01-17,0.0,0.0,32.33,8.0,53.47,13.0,0.0,0.0,0.0,0.0
2015-01-18,1.99,1.0,16.33,6.0,24.26,8.0,0.0,0.0,0.0,0.0
2015-01-19,12.83,4.0,58.18,15.0,62.01,17.0,0.0,0.0,0.0,0.0
2015-01-20,0.0,0.0,0.0,0.0,19.76,5.0,0.0,0.0,0.0,0.0
2015-01-21,1.98,1.0,72.29,23.0,142.23,40.0,0.0,0.0,0.0,0.0
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,0.0,0.0
2015-01-24,0.0,0.0,3.21,1.0,3.21,1.0,0.0,0.0,0.0,0.0
2015-01-25,7.08,1.0,20.36,5.0,34.25,9.0,0.0,0.0,0.0,0.0
